time,latitude(degrees),longitudes(degrees),altitude(meters),n_sats,flags
19691231_190447,37.4291346367,-122.1725917022,69.7134222669, 9, 1
19691231_190447,37.4291346367,-122.1725917022,69.7134222669, 9, 1
19691231_190447,37.4291346367,-122.1725917022,69.7134222669, 9, 1
19691231_190447,37.4291780343,-122.1726108018,69.8454009930, 9, 0
19691231_190447,37.4291780343,-122.1726108018,69.8454009930, 9, 0
19691231_190447,37.4291780343,-122.1726108018,69.8454009930, 9, 0
19691231_190447,37.4291780343,-122.1726108018,69.8454009930, 9, 0
19691231_190447,37.4291379879,-122.1725837002,69.7146269803, 9, 1
19691231_190447,37.4291379879,-122.1725837002,69.7146269803, 9, 1
19691231_190447,37.4291379879,-122.1725837002,69.7146269803, 9, 1
19691231_190447,37.4291379879,-122.1725837002,69.7146269803, 9, 1
19691231_190447,37.4291394737,-122.1725691608,68.2457259945, 9, 0
19691231_190447,37.4291394737,-122.1725691608,68.2457259945, 9, 0
19691231_190447,37.4291394737,-122.1725691608,68.2457259945, 9, 0
19691231_190447,37.4291394737,-122.1725691608,68.2457259945, 9, 0
19691231_190447,37.4291413901,-122.1725757320,69.7158500061, 9, 1
19691231_190447,37.4291413901,-122.1725757320,69.7158500061, 9, 1
19691231_190447,37.4291413901,-122.1725757320,69.7158500061, 9, 1
19691231_190447,37.4291413901,-122.1725757320,69.7158500061, 9, 1
19691231_190447,37.4291491649,-122.1725412129,71.7198415462, 9, 0
19691231_190447,37.4291491649,-122.1725412129,71.7198415462, 9, 0
19691231_190447,37.4291491649,-122.1725412129,71.7198415462, 9, 0
19691231_190447,37.4291491649,-122.1725412129,71.7198415462, 9, 0
19691231_190447,37.4291448430,-122.1725677981,69.7170912658, 9, 1
19691231_190447,37.4291448430,-122.1725677981,69.7170912658, 9, 1
19691231_190447,37.4291448430,-122.1725677981,69.7170912658, 9, 1
19691231_190447,37.4291652133,-122.1725865483,71.6934556091, 9, 0
19691231_190447,37.4291652133,-122.1725865483,71.6934556091, 9, 0
19691231_190447,37.4291652133,-122.1725865483,71.6934556091, 9, 0
19691231_190447,37.4291652133,-122.1725865483,71.6934556091, 9, 0
19691231_190447,37.4291483465,-122.1725598992,69.7183506818, 9, 1
19691231_190447,37.4291483465,-122.1725598992,69.7183506818, 9, 1
19691231_190448,37.4291483465,-122.1725598992,69.7183506818, 9, 1
19691231_190448,37.4291627235,-122.1725641994,67.8006264084, 9, 0
19691231_190448,37.4291627235,-122.1725641994,67.8006264084, 9, 0
19691231_190448,37.4291627235,-122.1725641994,67.8006264084, 9, 0
19691231_190448,37.4291627235,-122.1725641994,67.8006264084, 9, 0
19691231_190448,37.4291519002,-122.1725520357,69.7196281726, 9, 1
19691231_190448,37.4291519002,-122.1725520357,69.7196281726, 9, 1
19691231_190448,37.4291519002,-122.1725520357,69.7196281726, 9, 1
19691231_190448,37.4291512362,-122.1725460018,70.5765793042, 9, 0
19691231_190448,37.4291512362,-122.1725460018,70.5765793042, 9, 0
19691231_190448,37.4291512362,-122.1725460018,70.5765793042, 9, 0
19691231_190448,37.4291512362,-122.1725460018,70.5765793042, 9, 0
19691231_190448,37.4291512362,-122.1725460018,70.5765793042, 9, 0
19691231_190448,37.4291555039,-122.1725442081,69.7209236561, 9, 1
19691231_190448,37.4291555039,-122.1725442081,69.7209236561, 9, 1
19691231_190448,37.4291555039,-122.1725442081,69.7209236561, 9, 1
19691231_190448,37.4291555039,-122.1725442081,69.7209236561, 9, 1
19691231_190448,37.4291595687,-122.1725159043,68.1188487830, 9, 0
19691231_190448,37.4291595687,-122.1725159043,68.1188487830, 9, 0
19691231_190448,37.4291595687,-122.1725159043,68.1188487830, 9, 0
19691231_190448,37.4291595687,-122.1725159043,68.1188487830, 9, 0
19691231_190448,37.4291591575,-122.1725364168,69.7222370500, 9, 1
19691231_190448,37.4291591575,-122.1725364168,69.7222370500, 9, 1
19691231_190448,37.4291591575,-122.1725364168,69.7222370500, 9, 1
19691231_190448,37.4291534667,-122.1725404166,69.3740729728, 9, 0
19691231_190448,37.4291534667,-122.1725404166,69.3740729728, 9, 0
19691231_190448,37.4291534667,-122.1725404166,69.3740729728, 9, 0
19691231_190448,37.4291534667,-122.1725404166,69.3740729728, 9, 0
19691231_190448,37.4291628606,-122.1725286625,69.7235682700, 9, 1
19691231_190448,37.4291628606,-122.1725286625,69.7235682700, 9, 1
19691231_190448,37.4291628606,-122.1725286625,69.7235682700, 9, 1
19691231_190448,37.4291628606,-122.1725286625,69.7235682700, 9, 1
19691231_190448,37.4291504059,-122.1725073757,69.4849974087, 9, 0
19691231_190448,37.4291504059,-122.1725073757,69.4849974087, 9, 0
19691231_190448,37.4291504059,-122.1725073757,69.4849974087, 9, 0
19691231_190448,37.4291504059,-122.1725073757,69.4849974087, 9, 0
19691231_190448,37.4291666132,-122.1725209456,69.7249172311, 9, 1
19691231_190448,37.4291666132,-122.1725209456,69.7249172311, 9, 1
19691231_190449,37.4291666132,-122.1725209456,69.7249172311, 9, 1
19691231_190449,37.4291652493,-122.1725019828,71.9659788792, 9, 0
19691231_190449,37.4291652493,-122.1725019828,71.9659788792, 9, 0
19691231_190449,37.4291652493,-122.1725019828,71.9659788792, 9, 0
19691231_190449,37.4291652493,-122.1725019828,71.9659788792, 9, 0
19691231_190449,37.4291704148,-122.1725132665,69.7262838458, 9, 1
19691231_190449,37.4291704148,-122.1725132665,69.7262838458, 9, 1
19691231_190449,37.4291704148,-122.1725132665,69.7262838458, 9, 1
19691231_190449,37.4291575858,-122.1725271667,72.1597191184, 9, 0
19691231_190449,37.4291575858,-122.1725271667,72.1597191184, 9, 0
19691231_190449,37.4291575858,-122.1725271667,72.1597191184, 9, 0
19691231_190449,37.4291575858,-122.1725271667,72.1597191184, 9, 0
19691231_190449,37.4291742653,-122.1725056259,69.7276680282, 9, 1
19691231_190449,37.4291742653,-122.1725056259,69.7276680282, 9, 1
19691231_190449,37.4291742653,-122.1725056259,69.7276680282, 9, 1
19691231_190449,37.4291742653,-122.1725056259,69.7276680282, 9, 1
19691231_190449,37.4291805042,-122.1724985078,68.2083332414, 9, 0
19691231_190449,37.4291805042,-122.1724985078,68.2083332414, 9, 0
19691231_190449,37.4291805042,-122.1724985078,68.2083332414, 9, 0
19691231_190449,37.4291805042,-122.1724985078,68.2083332414, 9, 0
19691231_190449,37.4291781644,-122.1724980241,69.7290696882, 9, 1
19691231_190449,37.4291781644,-122.1724980241,69.7290696882, 9, 1
19691231_190449,37.4291781644,-122.1724980241,69.7290696882, 9, 1
19691231_190449,37.4291723353,-122.1724863487,67.3394877202, 9, 0
19691231_190449,37.4291723353,-122.1724863487,67.3394877202, 9, 0
19691231_190449,37.4291723353,-122.1724863487,67.3394877202, 9, 0
19691231_190449,37.4291723353,-122.1724863487,67.3394877202, 9, 0
19691231_190449,37.4291821119,-122.1724904616,69.7304887390, 9, 1
19691231_190449,37.4291821119,-122.1724904616,69.7304887390, 9, 1
19691231_190449,37.4291821119,-122.1724904616,69.7304887390, 9, 1
19691231_190449,37.4291723018,-122.1724583027,70.3866030117, 9, 0
19691231_190449,37.4291723018,-122.1724583027,70.3866030117, 9, 0
19691231_190449,37.4291723018,-122.1724583027,70.3866030117, 9, 0
19691231_190449,37.4291723018,-122.1724583027,70.3866030117, 9, 0
19691231_190449,37.4291861075,-122.1724829390,69.7319250860, 9, 1
19691231_190449,37.4291861075,-122.1724829390,69.7319250860, 9, 1
19691231_190449,37.4291861075,-122.1724829390,69.7319250860, 9, 1
19691231_190450,37.4291861075,-122.1724829390,69.7319250860, 9, 1
19691231_190450,37.4291823099,-122.1724573960,69.3354170316, 9, 0
19691231_190450,37.4291823099,-122.1724573960,69.3354170316, 9, 0
19691231_190450,37.4291823099,-122.1724573960,69.3354170316, 9, 0
19691231_190450,37.4291823099,-122.1724573960,69.3354170316, 9, 0
19691231_190450,37.4291901509,-122.1724754567,69.7333786403, 9, 1
19691231_190450,37.4291901509,-122.1724754567,69.7333786403, 9, 1
19691231_190450,37.4291901509,-122.1724754567,69.7333786403, 9, 1
19691231_190450,37.4291829721,-122.1724725013,67.9069902953, 9, 0
19691231_190450,37.4291829721,-122.1724725013,67.9069902953, 9, 0
19691231_190450,37.4291829721,-122.1724725013,67.9069902953, 9, 0
19691231_190450,37.4291829721,-122.1724725013,67.9069902953, 9, 0
19691231_190450,37.4291829721,-122.1724725013,67.9069902953, 9, 0
19691231_190450,37.4291942420,-122.1724680153,69.7348493057, 9, 1
19691231_190450,37.4291942420,-122.1724680153,69.7348493057, 9, 1
19691231_190450,37.4291942420,-122.1724680153,69.7348493057, 9, 1
19691231_190450,37.4291942420,-122.1724680153,69.7348493057, 9, 1
19691231_190450,37.4292101812,-122.1724386232,69.7563273023, 9, 0
19691231_190450,37.4292101812,-122.1724386232,69.7563273023, 9, 0
19691231_190450,37.4292101812,-122.1724386232,69.7563273023, 9, 0
19691231_190450,37.4292101812,-122.1724386232,69.7563273023, 9, 0
19691231_190450,37.4291983804,-122.1724606151,69.7363369926, 9, 1
19691231_190450,37.4291983804,-122.1724606151,69.7363369926, 9, 1
19691231_190450,37.4291983804,-122.1724606151,69.7363369926, 9, 1
19691231_190450,37.4292038587,-122.1724685677,68.7607847775, 9, 0
19691231_190450,37.4292038587,-122.1724685677,68.7607847775, 9, 0
19691231_190450,37.4292038587,-122.1724685677,68.7607847775, 9, 0
19691231_190450,37.4292038587,-122.1724685677,68.7607847775, 9, 0
19691231_190450,37.4292025659,-122.1724532566,69.7378416011, 9, 1
19691231_190450,37.4292025659,-122.1724532566,69.7378416011, 9, 1
19691231_190450,37.4292025659,-122.1724532566,69.7378416011, 9, 1
19691231_190450,37.4292008896,-122.1724459111,68.9725878912, 9, 0
19691231_190450,37.4292008896,-122.1724459111,68.9725878912, 9, 0
19691231_190450,37.4292008896,-122.1724459111,68.9725878912, 9, 0
19691231_190450,37.4292008896,-122.1724459111,68.9725878912, 9, 0
19691231_190450,37.4292067982,-122.1724459404,69.7393630380, 9, 1
19691231_190450,37.4292067982,-122.1724459404,69.7393630380, 9, 1
19691231_190451,37.4292067982,-122.1724459404,69.7393630380, 9, 1
19691231_190451,37.4292152899,-122.1724410906,69.3093630297, 9, 0
19691231_190451,37.4292152899,-122.1724410906,69.3093630297, 9, 0
19691231_190451,37.4292152899,-122.1724410906,69.3093630297, 9, 0
19691231_190451,37.4292152899,-122.1724410906,69.3093630297, 9, 0
19691231_190451,37.4292110770,-122.1724386668,69.7409012047, 9, 1
19691231_190451,37.4292110770,-122.1724386668,69.7409012047, 9, 1
19691231_190451,37.4292110770,-122.1724386668,69.7409012047, 9, 1
19691231_190451,37.4292110770,-122.1724386668,69.7409012047, 9, 1
19691231_190451,37.4291951343,-122.1724404799,69.5769343236, 9, 0
19691231_190451,37.4291951343,-122.1724404799,69.5769343236, 9, 0
19691231_190451,37.4291951343,-122.1724404799,69.5769343236, 9, 0
19691231_190451,37.4291951343,-122.1724404799,69.5769343236, 9, 0
19691231_190451,37.4292154021,-122.1724314365,69.7424560037, 9, 1
19691231_190451,37.4292154021,-122.1724314365,69.7424560037, 9, 1
19691231_190451,37.4292154021,-122.1724314365,69.7424560037, 9, 1
19691231_190451,37.4292154021,-122.1724314365,69.7424560037, 9, 1
19691231_190451,37.4292243864,-122.1724478259,68.7421061310, 9, 0
19691231_190451,37.4292243864,-122.1724478259,68.7421061310, 9, 0
19691231_190451,37.4292243864,-122.1724478259,68.7421061310, 9, 0
19691231_190451,37.4292243864,-122.1724478259,68.7421061310, 9, 0
19691231_190451,37.4292197732,-122.1724242497,69.7440273334, 9, 1
19691231_190451,37.4292197732,-122.1724242497,69.7440273334, 9, 1
19691231_190451,37.4292197732,-122.1724242497,69.7440273334, 9, 1
19691231_190451,37.4292277949,-122.1724474733,69.7422278619, 9, 0
19691231_190451,37.4292277949,-122.1724474733,69.7422278619, 9, 0
19691231_190451,37.4292277949,-122.1724474733,69.7422278619, 9, 0
19691231_190451,37.4292277949,-122.1724474733,69.7422278619, 9, 0
19691231_190451,37.4292241900,-122.1724171070,69.7456150948, 9, 1
19691231_190451,37.4292241900,-122.1724171070,69.7456150948, 9, 1
19691231_190451,37.4292241900,-122.1724171070,69.7456150948, 9, 1
19691231_190451,37.4292338288,-122.1724103952,67.5987312036, 9, 0
19691231_190451,37.4292338288,-122.1724103952,67.5987312036, 9, 0
19691231_190451,37.4292338288,-122.1724103952,67.5987312036, 9, 0
19691231_190451,37.4292338288,-122.1724103952,67.5987312036, 9, 0
19691231_190451,37.4292286523,-122.1724100088,69.7472191878, 9, 1
19691231_190451,37.4292286523,-122.1724100088,69.7472191878, 9, 1
19691231_190452,37.4292286523,-122.1724100088,69.7472191878, 9, 1
19691231_190452,37.4292214215,-122.1723896560,69.1497197114, 9, 0
19691231_190452,37.4292214215,-122.1723896560,69.1497197114, 9, 0
19691231_190452,37.4292214215,-122.1723896560,69.1497197114, 9, 0
19691231_190452,37.4292214215,-122.1723896560,69.1497197114, 9, 0
19691231_190452,37.4292331596,-122.1724029557,69.7488395067, 9, 1
19691231_190452,37.4292331596,-122.1724029557,69.7488395067, 9, 1
19691231_190452,37.4292331596,-122.1724029557,69.7488395067, 9, 1
19691231_190452,37.4292008510,-122.1724143047,68.0977893573, 9, 0
19691231_190452,37.4292008510,-122.1724143047,68.0977893573, 9, 0
19691231_190452,37.4292008510,-122.1724143047,68.0977893573, 9, 0
19691231_190452,37.4292008510,-122.1724143047,68.0977893573, 9, 0
19691231_190452,37.4292008510,-122.1724143047,68.0977893573, 9, 0
19691231_190452,37.4292377118,-122.1723959480,69.7504759493, 9, 1
19691231_190452,37.4292377118,-122.1723959480,69.7504759493, 9, 1
19691231_190452,37.4292377118,-122.1723959480,69.7504759493, 9, 1
19691231_190452,37.4292377118,-122.1723959480,69.7504759493, 9, 1
19691231_190452,37.4292377118,-122.1723959480,69.7504759493, 9, 1
19691231_190452,37.4292407921,-122.1723933382,70.3921559783, 9, 0
19691231_190452,37.4292407921,-122.1723933382,70.3921559783, 9, 0
19691231_190452,37.4292407921,-122.1723933382,70.3921559783, 9, 0
19691231_190452,37.4292407921,-122.1723933382,70.3921559783, 9, 0
19691231_190452,37.4292423086,-122.1723889861,69.7521284104, 9, 1
19691231_190452,37.4292423086,-122.1723889861,69.7521284104, 9, 1
19691231_190452,37.4292423086,-122.1723889861,69.7521284104, 9, 1
19691231_190452,37.4292449594,-122.1723928460,69.9956938805, 9, 0
19691231_190452,37.4292449594,-122.1723928460,69.9956938805, 9, 0
19691231_190452,37.4292449594,-122.1723928460,69.9956938805, 9, 0
19691231_190452,37.4292449594,-122.1723928460,69.9956938805, 9, 0
19691231_190452,37.4292469497,-122.1723820706,69.7537967851, 9, 1
19691231_190452,37.4292469497,-122.1723820706,69.7537967851, 9, 1
19691231_190452,37.4292469497,-122.1723820706,69.7537967851, 9, 1
19691231_190452,37.4292290419,-122.1723762679,69.5582977863, 9, 0
19691231_190452,37.4292290419,-122.1723762679,69.5582977863, 9, 0
19691231_190452,37.4292290419,-122.1723762679,69.5582977863, 9, 0
19691231_190452,37.4292290419,-122.1723762679,69.5582977863, 9, 0
19691231_190452,37.4292516347,-122.1723752019,69.7554809673, 9, 1
19691231_190452,37.4292516347,-122.1723752019,69.7554809673, 9, 1
19691231_190453,37.4292516347,-122.1723752019,69.7554809673, 9, 1
19691231_190453,37.4292567899,-122.1723708719,70.1025920714, 9, 0
19691231_190453,37.4292567899,-122.1723708719,70.1025920714, 9, 0
19691231_190453,37.4292567899,-122.1723708719,70.1025920714, 9, 0
19691231_190453,37.4292567899,-122.1723708719,70.1025920714, 9, 0
19691231_190453,37.4292563634,-122.1723683804,69.7571808477, 9, 1
19691231_190453,37.4292563634,-122.1723683804,69.7571808477, 9, 1
19691231_190453,37.4292563634,-122.1723683804,69.7571808477, 9, 1
19691231_190453,37.4292300935,-122.1723431994,70.3245347801, 9, 0
19691231_190453,37.4292300935,-122.1723431994,70.3245347801, 9, 0
19691231_190453,37.4292300935,-122.1723431994,70.3245347801, 9, 0
19691231_190453,37.4292300935,-122.1723431994,70.3245347801, 9, 0
19691231_190453,37.4292611354,-122.1723616065,69.7588963174, 9, 1
19691231_190453,37.4292611354,-122.1723616065,69.7588963174, 9, 1
19691231_190453,37.4292611354,-122.1723616065,69.7588963174, 9, 1
19691231_190453,37.4292611354,-122.1723616065,69.7588963174, 9, 1
19691231_190453,37.4292370179,-122.1723635632,70.9752542512, 9, 0
19691231_190453,37.4292370179,-122.1723635632,70.9752542512, 9, 0
19691231_190453,37.4292370179,-122.1723635632,70.9752542512, 9, 0
19691231_190453,37.4292370179,-122.1723635632,70.9752542512, 9, 0
19691231_190453,37.4292659506,-122.1723548807,69.7606272675, 9, 1
19691231_190453,37.4292659506,-122.1723548807,69.7606272675, 9, 1
19691231_190453,37.4292659506,-122.1723548807,69.7606272675, 9, 1
19691231_190453,37.4292659506,-122.1723548807,69.7606272675, 9, 1
19691231_190453,37.4293053309,-122.1723500530,70.3511115358, 9, 0
19691231_190453,37.4293053309,-122.1723500530,70.3511115358, 9, 0
19691231_190453,37.4293053309,-122.1723500530,70.3511115358, 9, 0
19691231_190453,37.4293053309,-122.1723500530,70.3511115358, 9, 0
19691231_190453,37.4292708084,-122.1723482035,69.7623735848, 9, 1
19691231_190453,37.4292708084,-122.1723482035,69.7623735848, 9, 1
19691231_190453,37.4292708084,-122.1723482035,69.7623735848, 9, 1
19691231_190453,37.4292894558,-122.1723253163,70.0872072148, 9, 0
19691231_190453,37.4292894558,-122.1723253163,70.0872072148, 9, 0
19691231_190453,37.4292894558,-122.1723253163,70.0872072148, 9, 0
19691231_190453,37.4292894558,-122.1723253163,70.0872072148, 9, 0
19691231_190453,37.4292757087,-122.1723415752,69.7641351621, 9, 1
19691231_190453,37.4292757087,-122.1723415752,69.7641351621, 9, 1
19691231_190454,37.4292757087,-122.1723415752,69.7641351621, 9, 1
19691231_190454,37.4292681414,-122.1723488934,68.9579187595, 9, 0
19691231_190454,37.4292681414,-122.1723488934,68.9579187595, 9, 0
19691231_190454,37.4292681414,-122.1723488934,68.9579187595, 9, 0
19691231_190454,37.4292681414,-122.1723488934,68.9579187595, 9, 0
19691231_190454,37.4292806512,-122.1723349962,69.7659118831, 9, 1
19691231_190454,37.4292806512,-122.1723349962,69.7659118831, 9, 1
19691231_190454,37.4292806512,-122.1723349962,69.7659118831, 9, 1
19691231_190454,37.4293088057,-122.1723510792,69.6127235124, 9, 0
19691231_190454,37.4293088057,-122.1723510792,69.6127235124, 9, 0
19691231_190454,37.4293088057,-122.1723510792,69.6127235124, 9, 0
19691231_190454,37.4293088057,-122.1723510792,69.6127235124, 9, 0
19691231_190454,37.4293088057,-122.1723510792,69.6127235124, 9, 0
19691231_190454,37.4292856354,-122.1723284671,69.7677036352, 9, 1
19691231_190454,37.4292856354,-122.1723284671,69.7677036352, 9, 1
19691231_190454,37.4292856354,-122.1723284671,69.7677036352, 9, 1
19691231_190454,37.4292856354,-122.1723284671,69.7677036352, 9, 1
19691231_190454,37.4293058601,-122.1723053154,70.8790662681, 9, 0
19691231_190454,37.4293058601,-122.1723053154,70.8790662681, 9, 0
19691231_190454,37.4293058601,-122.1723053154,70.8790662681, 9, 0
19691231_190454,37.4293058601,-122.1723053154,70.8790662681, 9, 0
19691231_190454,37.4292906612,-122.1723219881,69.7695103053, 9, 1
19691231_190454,37.4292906612,-122.1723219881,69.7695103053, 9, 1
19691231_190454,37.4292906612,-122.1723219881,69.7695103053, 9, 1
19691231_190454,37.4293044160,-122.1723183232,70.4271020870, 9, 0
19691231_190454,37.4293044160,-122.1723183232,70.4271020870, 9, 0
19691231_190454,37.4293044160,-122.1723183232,70.4271020870, 9, 0
19691231_190454,37.4293044160,-122.1723183232,70.4271020870, 9, 0
19691231_190454,37.4292957281,-122.1723155598,69.7713317734, 9, 1
19691231_190454,37.4292957281,-122.1723155598,69.7713317734, 9, 1
19691231_190454,37.4292957281,-122.1723155598,69.7713317734, 9, 1
19691231_190454,37.4292957281,-122.1723155598,69.7713317734, 9, 1
19691231_190454,37.4293090287,-122.1723000301,68.7437566024, 9, 0
19691231_190454,37.4293090287,-122.1723000301,68.7437566024, 9, 0
19691231_190454,37.4293090287,-122.1723000301,68.7437566024, 9, 0
19691231_190454,37.4293090287,-122.1723000301,68.7437566024, 9, 0
19691231_190454,37.4293008359,-122.1723091825,69.7731679278, 9, 1
19691231_190454,37.4293008359,-122.1723091825,69.7731679278, 9, 1
19691231_190455,37.4293008359,-122.1723091825,69.7731679278, 9, 1
19691231_190455,37.4292808719,-122.1723088583,70.5480796691, 9, 0
19691231_190455,37.4292808719,-122.1723088583,70.5480796691, 9, 0
19691231_190455,37.4292808719,-122.1723088583,70.5480796691, 9, 0
19691231_190455,37.4292808719,-122.1723088583,70.5480796691, 9, 0
19691231_190455,37.4293059842,-122.1723028567,69.7750186486, 9, 1
19691231_190455,37.4293059842,-122.1723028567,69.7750186486, 9, 1
19691231_190455,37.4293059842,-122.1723028567,69.7750186486, 9, 1
19691231_190455,37.4292999171,-122.1723028529,69.1947492361, 9, 0
19691231_190455,37.4292999171,-122.1723028529,69.1947492361, 9, 0
19691231_190455,37.4292999171,-122.1723028529,69.1947492361, 9, 0
19691231_190455,37.4292999171,-122.1723028529,69.1947492361, 9, 0
19691231_190455,37.4293111726,-122.1722965827,69.7768838165, 9, 1
19691231_190455,37.4293111726,-122.1722965827,69.7768838165, 9, 1
19691231_190455,37.4293111726,-122.1722965827,69.7768838165, 9, 1
19691231_190455,37.4293111726,-122.1722965827,69.7768838165, 9, 1
19691231_190455,37.4293142750,-122.1723063678,70.4908396580, 9, 0
19691231_190455,37.4293142750,-122.1723063678,70.4908396580, 9, 0
19691231_190455,37.4293142750,-122.1723063678,70.4908396580, 9, 0
19691231_190455,37.4293142750,-122.1723063678,70.4908396580, 9, 0
19691231_190455,37.4293164010,-122.1722903609,69.7787633147, 9, 1
19691231_190455,37.4293164010,-122.1722903609,69.7787633147, 9, 1
19691231_190455,37.4293164010,-122.1722903609,69.7787633147, 9, 1
19691231_190455,37.4293342419,-122.1722692014,70.7637364927, 9, 0
19691231_190455,37.4293342419,-122.1722692014,70.7637364927, 9, 0
19691231_190455,37.4293342419,-122.1722692014,70.7637364927, 9, 0
19691231_190455,37.4293342419,-122.1722692014,70.7637364927, 9, 0
19691231_190455,37.4293216688,-122.1722841918,69.7806570188, 9, 1
19691231_190455,37.4293216688,-122.1722841918,69.7806570188, 9, 1
19691231_190455,37.4293216688,-122.1722841918,69.7806570188, 9, 1
19691231_190455,37.4293216688,-122.1722841918,69.7806570188, 9, 1
19691231_190455,37.4293174096,-122.1722819345,71.4653739826, 9, 0
19691231_190455,37.4293174096,-122.1722819345,71.4653739826, 9, 0
19691231_190455,37.4293174096,-122.1722819345,71.4653739826, 9, 0
19691231_190455,37.4293174096,-122.1722819345,71.4653739826, 9, 0
19691231_190455,37.4293269759,-122.1722780757,69.7825648149, 9, 1
19691231_190455,37.4293269759,-122.1722780757,69.7825648149, 9, 1
19691231_190456,37.4293269759,-122.1722780757,69.7825648149, 9, 1
19691231_190456,37.4293302404,-122.1722799345,70.0377134338, 9, 0
19691231_190456,37.4293302404,-122.1722799345,70.0377134338, 9, 0
19691231_190456,37.4293302404,-122.1722799345,70.0377134338, 9, 0
19691231_190456,37.4293302404,-122.1722799345,70.0377134338, 9, 0
19691231_190456,37.4293323218,-122.1722720131,69.7844865732, 9, 1
19691231_190456,37.4293323218,-122.1722720131,69.7844865732, 9, 1
19691231_190456,37.4293323218,-122.1722720131,69.7844865732, 9, 1
19691231_190456,37.4293361019,-122.1723006829,72.3931489099, 9, 0
19691231_190456,37.4293361019,-122.1723006829,72.3931489099, 9, 0
19691231_190456,37.4293361019,-122.1723006829,72.3931489099, 9, 0
19691231_190456,37.4293361019,-122.1723006829,72.3931489099, 9, 0
19691231_190456,37.4293361019,-122.1723006829,72.3931489099, 9, 0
19691231_190456,37.4293377062,-122.1722660043,69.7864221741, 9, 1
19691231_190456,37.4293377062,-122.1722660043,69.7864221741, 9, 1
19691231_190456,37.4293377062,-122.1722660043,69.7864221741, 9, 1
19691231_190456,37.4293377062,-122.1722660043,69.7864221741, 9, 1
19691231_190456,37.4293494054,-122.1722637052,69.6199474569, 9, 0
19691231_190456,37.4293494054,-122.1722637052,69.6199474569, 9, 0
19691231_190456,37.4293494054,-122.1722637052,69.6199474569, 9, 0
19691231_190456,37.4293494054,-122.1722637052,69.6199474569, 9, 0
19691231_190456,37.4293431288,-122.1722600497,69.7883714946, 9, 1
19691231_190456,37.4293431288,-122.1722600497,69.7883714946, 9, 1
19691231_190456,37.4293431288,-122.1722600497,69.7883714946, 9, 1
